,Unnamed: 0.1,Unnamed: 0,id,loc,dis,mapbar,centroid,normalize
318,329,329,车轮厂宿舍,"125.293472,43.930908",1668,"125.294749891494,43.929081759983",0,"-0.005242784287986524,-0.011630316839998045"
321,332,332,豪邦四季风采,"125.295695,43.934932",1373,"125.296965060764,43.933082139757",0,"-0.0030276150179986416,-0.00762993706599957"
324,335,335,希望家园,"125.292246,43.933796",1529,"125.293528103299,43.931948242188",0,"-0.006464572482997255,-0.008763834634997636"
327,338,338,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
329,340,340,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
335,346,346,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
339,350,350,新惠路车轮厂,"125.294267,43.930763",3247,"125.295541720921,43.928942871094",0,"-0.004450954860999445,-0.011769205728995757"
344,355,355,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
346,357,357,西环城路与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
347,358,358,基隆北街与新月路交汇,"125.293566,43.936564",1785,"125.294841037327,43.934698350695",0,"-0.005151638454989893,-0.006013726127996222"
348,359,359,新月路,"125.288424,43.937339",1807,"125.289721408421,43.935461425782",0,"-0.010271267360991487,-0.005250651040995535"
349,360,360,新月路交警大队,"125.288424,43.937339",1807,"125.289721408421,43.935461425782",0,"-0.010271267360991487,-0.005250651040995535"
352,363,363,新月路,"125.288424,43.937339",1807,"125.289721408421,43.935461425782",0,"-0.010271267360991487,-0.005250651040995535"
358,369,369,新月山庄,"125.290139,43.936219",1727,"125.291424424914,43.934354112414",0,"-0.008568250867995175,-0.0063579644089983844"
359,372,372,恒大城,"125.291287,43.946914",1364,"125.292568088108,43.944969075521",0,"-0.00742458767399512,0.004256998698004111"
366,379,379,远创紫樾台,"125.297457,43.920041",3086,"125.29872639974,43.918303493924",0,"-0.00126627604198859,-0.022408582898997054"
2,2,2,基隆街与新月路交汇,"125.283408,43.937287",2505,"125.284712727865,43.935415581598",1,"-0.015279947916994274,-0.005296495224996534"
5,5,5,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
6,6,6,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
7,7,7,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
8,8,8,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
10,10,10,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
12,12,12,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
14,14,14,檀香苑一期,"125.283657,43.930311",2453,"125.28496202257,43.928500162761",1,"-0.01503065321199415,-0.012211914062000062"
15,15,15,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
16,16,16,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
17,17,17,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
18,18,18,龙泰檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
19,19,19,柳江路和基隆北街交汇,"125.283642,43.931913",2727,"125.284952256945,43.930089246962",1,"-0.015040418836989033,-0.010622829860999161"
20,20,20,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
21,21,21,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
23,23,23,豪邦四季经典c区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
24,24,24,新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
26,26,26,新隆家园站,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
27,27,27,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
28,28,28,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
29,29,29,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
30,30,30,基隆北街檀香苑二期南门,"125.284475,43.930739",2341,"125.285783420139,43.928920898438",1,"-0.0142092556429958,-0.011791178384996215"
32,32,32,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
34,34,34,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
35,35,35,基隆北街新月路交汇,"125.284527,43.937223",1994,"125.285824652778,43.935356987848",1,"-0.01416802300398956,-0.00535508897499426"
37,37,37,龙泰檀香苑二期北门,"125.285809,43.932288",2544,"125.287105848525,43.930451388889",1,"-0.01288682725699175,-0.010260687934000146"
38,38,38,基隆北街新月路交汇,"125.284527,43.937223",1994,"125.285824652778,43.935356987848",1,"-0.01416802300398956,-0.00535508897499426"
41,41,41,龙泰檀香苑3期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
42,42,42,吉隆北街,"125.279494,43.926756",3104,"125.280815429688,43.924978027344",1,"-0.019177246093988742,-0.01573404947900059"
43,43,43,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
44,44,44,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
46,46,46,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
48,48,48,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
49,49,49,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
50,50,50,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
51,51,51,基隆北街与新惠路交汇,"125.288667,43.930552",2031,"125.289960666233,43.92873562283",1,"-0.010032009548993415,-0.011976453993000291"
54,54,54,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
55,55,55,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
56,56,56,新隆家园,"125.279659,43.937653",2244,"125.280977105035,43.935791829428",1,"-0.01901557074698701,-0.004920247394998967"
57,57,57,基隆北街与柳江路交汇,"125.282973,43.932590",2380,"125.284281412761,43.930768229167",1,"-0.015711263020989463,-0.009943847655996763"
58,58,58,龙泰檀香苑,"125.287531,43.930838",2782,"125.288828667535,43.92901421441",1,"-0.011164008246993262,-0.011697862412994198"
59,59,59,豪邦四季经典,"125.281784,43.935034",2589,"125.283100043403,43.933185492622",1,"-0.01689263237899752,-0.007526584200995501"
60,60,60,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
61,61,61,隆泰檀香苑三期,"125.285577,43.933613",2102,"125.286875813803,43.931780327691",1,"-0.013116861979000305,-0.008931749131996014"
62,62,62,豪邦四季经典A区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
63,63,63,龙泰檀香苑二期,"125.285429,43.931570",2642,"125.28672498915,43.92975124783",1,"-0.013267686631991182,-0.010960828992999438"
64,64,64,新大华府,"125.282220,43.938146",2296,"125.28353108724,43.936274142796",1,"-0.016461588542000527,-0.004437934026995549"
65,65,65,豪邦四季经典C区,"125.280364,43.931770",3301,"125.281677246094,43.929956054688",1,"-0.018315429687987717,-0.010756022134998489"
66,66,66,豪邦四季经典A区,"125.278864,43.936033",2410,"125.280185818143,43.934182128907",1,"-0.019806857638997144,-0.006529947916000367"
67,67,67,绿园区弘阳街市人大宿舍,"125.277842,43.885205",7958,"125.279186469185,43.88374077691",1,"-0.020806206596986954,-0.056971299912994766"
